ID,Composition,Processing history,Phases,Grain size (um),Tensile YS (MPa),UTS (MPa),Tesing temperature (K),R,Frequency (Hz),ΔKth (MPa m0.5),"Paris slope, m",Reference,phase_class,threshold_available
1,CoCrFeNi,PM + degassed (773 K & 12 h) + pre-heat (1473 K & 1 h),FCC,15,250.0,650.0,298,0.1,6Hz,,6.2,"Li, W., Long, X., Huang, S., Fang, Q., & Jiang, C. (2019). Elevated fatigue crack growth resistance of Mo alloyed CoCrFeNi high entropy alloys. Engineering Fracture Mechanics, 218(April), 106579. https://doi.org/10.1016/j.engfracmech.2019.106579",FCC,False
2,CoCrFeNiMo0.2,PM + degassed (773 K & 12 h) + pre-heat (1473 K & 1 h),FCC,12,375.0,780.0,298,0.1,6Hz,,7.4,"Li, W., Long, X., Huang, S., Fang, Q., & Jiang, C. (2019). Elevated fatigue crack growth resistance of Mo alloyed CoCrFeNi high entropy alloys. Engineering Fracture Mechanics, 218(April), 106579. https://doi.org/10.1016/j.engfracmech.2019.106579",FCC,False
3,HfNbTaTiZr,AM + homogenized + cold-rolling + anneal (1373 K & 5 h),BCC,,953.0,1095.0,298,0.1,10Hz,2.5,2.2,"Guennec, B., Kentheswaran, V., Perrière, L., Ueno, A., Guillot, I., Couzinié, J. P., & Dirras, G. (2019). Analysis of the fatigue crack growth mechanisms in equimolar body centered cubic HfNbTaTiZr high-entropy alloy: Discussions on its singularities and consequences on the crack propagation rate properties. Intermetallics, 110(January), 106459. https://doi.org/10.1016/j.intermet.2019.04.002",BCC,True
4,CrMnFeCoNi,VIM + casting + homogenized (1473 K & 48 h) + rotary swaged + recrystallized (1073 K & 1 h),FCC,7±3,410.0,760.0,293,0.1,25Hz,4.8,3.5,"Thurston, K. V. S., Gludovatz, B., Hohenwarter, A., Laplanche, G., George, E. P., & Ritchie, R. O. (2017). Effect of temperature on the fatigue-crack growth behavior of the high-entropy alloy CrMnFeCoNi. Intermetallics, 88(May), 65–72. https://doi.org/10.1016/j.intermet.2017.05.009",FCC,True
5,CrMnFeCoNi,VIM + casting + homogenized (1473 K & 48 h) + rotary swaged + recrystallized (1073 K & 1 h),FCC,7±3,520.0,925.0,198,0.1,25Hz,6.3,4.5,"Thurston, K. V. S., Gludovatz, B., Hohenwarter, A., Laplanche, G., George, E. P., & Ritchie, R. O. (2017). Effect of temperature on the fatigue-crack growth behavior of the high-entropy alloy CrMnFeCoNi. Intermetallics, 88(May), 65–72. https://doi.org/10.1016/j.intermet.2017.05.009",FCC,True
6,CrMnFeCoNi,VIM + casting + homogenized (1473 K & 48 h) + rotary swaged + recrystallized (1073 K & 1 h),FCC,7±3,,,77,0.1,25Hz,,2.9,"Thurston, K. V. S., Gludovatz, B., Yu, Q., Laplanche, G., George, E. P., & Ritchie, R. O. (2019). Temperature and load-ratio dependent fatigue-crack growth in the CrMnFeCoNi high-entropy alloy. Journal of Alloys and Compounds, 794, 525–533. https://doi.org/10.1016/j.jallcom.2019.04.234",FCC,False
7,CrMnFeCoNi,VIM + casting + homogenized (1473 K & 48 h) + rotary swaged + recrystallized (1073 K & 1 h),FCC,7±3,,,293,0.4,25Hz,2.6,2.8,"Thurston, K. V. S., Gludovatz, B., Yu, Q., Laplanche, G., George, E. P., & Ritchie, R. O. (2019). Temperature and load-ratio dependent fatigue-crack growth in the CrMnFeCoNi high-entropy alloy. Journal of Alloys and Compounds, 794, 525–533. https://doi.org/10.1016/j.jallcom.2019.04.234",FCC,True
8,CrMnFeCoNi,VIM + casting + homogenized (1473 K & 48 h) + rotary swaged + recrystallized (1073 K & 1 h),FCC,7±3,,,198,0.4,25Hz,4.8,3.4,"Thurston, K. V. S., Gludovatz, B., Yu, Q., Laplanche, G., George, E. P., & Ritchie, R. O. (2019). Temperature and load-ratio dependent fatigue-crack growth in the CrMnFeCoNi high-entropy alloy. Journal of Alloys and Compounds, 794, 525–533. https://doi.org/10.1016/j.jallcom.2019.04.234",FCC,True
9,CrMnFeCoNi,VIM + casting + homogenized (1473 K & 48 h) + rotary swaged + recrystallized (1073 K & 1 h),FCC,7±3,,,77,0.4,25Hz,,2.3,"Thurston, K. V. S., Gludovatz, B., Yu, Q., Laplanche, G., George, E. P., & Ritchie, R. O. (2019). Temperature and load-ratio dependent fatigue-crack growth in the CrMnFeCoNi high-entropy alloy. Journal of Alloys and Compounds, 794, 525–533. https://doi.org/10.1016/j.jallcom.2019.04.234",FCC,False
10,CrMnFeCoNi,VIM + casting + homogenized (1473 K & 48 h) + rotary swaged + recrystallized (1073 K & 1 h),FCC,7±3,,,293,0.7,25Hz,2.5,2.6,"Thurston, K. V. S., Gludovatz, B., Yu, Q., Laplanche, G., George, E. P., & Ritchie, R. O. (2019). Temperature and load-ratio dependent fatigue-crack growth in the CrMnFeCoNi high-entropy alloy. Journal of Alloys and Compounds, 794, 525–533. https://doi.org/10.1016/j.jallcom.2019.04.234",FCC,True
11,CrMnFeCoNi,VIM + casting + homogenized (1473 K & 48 h) + rotary swaged + recrystallized (1073 K & 1 h),FCC,7±3,,,198,0.7,25Hz,3.5,3.1,"Thurston, K. V. S., Gludovatz, B., Yu, Q., Laplanche, G., George, E. P., & Ritchie, R. O. (2019). Temperature and load-ratio dependent fatigue-crack growth in the CrMnFeCoNi high-entropy alloy. Journal of Alloys and Compounds, 794, 525–533. https://doi.org/10.1016/j.jallcom.2019.04.234",FCC,True
12,CrMnFeCoNi,VIM + casting + homogenized (1473 K & 48 h) + rotary swaged + recrystallized (1073 K & 1 h),FCC,7±3,,,77,0.7,25Hz,,2.3,"Thurston, K. V. S., Gludovatz, B., Yu, Q., Laplanche, G., George, E. P., & Ritchie, R. O. (2019). Temperature and load-ratio dependent fatigue-crack growth in the CrMnFeCoNi high-entropy alloy. Journal of Alloys and Compounds, 794, 525–533. https://doi.org/10.1016/j.jallcom.2019.04.234",FCC,False
13,AlCrFeNi2Cu,VLM,FCC + BCC + undefined phase,,,,293,0.1,20Hz,17.0,3.4,"Seifi, M., Li, D., Yong, Z., Liaw, P. K., & Lewandowski, J. J. (2015). Fracture Toughness and Fatigue Crack Growth Behavior of As-Cast High-Entropy Alloys. Jom, 67(10), 2288–2295. https://doi.org/10.1007/s11837-015-1563-9",FCC+BCC,True
14,AlCrFeNi2Cu,VLM,FCC + BCC + undefined phase,,,,293,0.3,20Hz,5.0,6.5,"Seifi, M., Li, D., Yong, Z., Liaw, P. K., & Lewandowski, J. J. (2015). Fracture Toughness and Fatigue Crack Growth Behavior of As-Cast High-Entropy Alloys. Jom, 67(10), 2288–2295. https://doi.org/10.1007/s11837-015-1563-9",FCC+BCC,True
15,AlCrFeNi2Cu,VLM,FCC + BCC + undefined phase,,,,293,0.7,20Hz,7.0,14.5,"Seifi, M., Li, D., Yong, Z., Liaw, P. K., & Lewandowski, J. J. (2015). Fracture Toughness and Fatigue Crack Growth Behavior of As-Cast High-Entropy Alloys. Jom, 67(10), 2288–2295. https://doi.org/10.1007/s11837-015-1563-9",FCC+BCC,True
16,Al0.2CrFeNiTi0.2,VLM,FCC + BCC + undefined phase,,,,293,0.1,20Hz,16.0,4.9,"Seifi, M., Li, D., Yong, Z., Liaw, P. K., & Lewandowski, J. J. (2015). Fracture Toughness and Fatigue Crack Growth Behavior of As-Cast High-Entropy Alloys. Jom, 67(10), 2288–2295. https://doi.org/10.1007/s11837-015-1563-9",FCC+BCC,True
17,Al0.2CrFeNiTi0.2,VLM,FCC + BCC + undefined phase,,,,293,0.3,20Hz,7.0,5.3,"Seifi, M., Li, D., Yong, Z., Liaw, P. K., & Lewandowski, J. J. (2015). Fracture Toughness and Fatigue Crack Growth Behavior of As-Cast High-Entropy Alloys. Jom, 67(10), 2288–2295. https://doi.org/10.1007/s11837-015-1563-9",FCC+BCC,True
18,Al0.2CrFeNiTi0.2,VLM,FCC + BCC + undefined phase,,,,293,0.7,20Hz,5.0,25.8,"Seifi, M., Li, D., Yong, Z., Liaw, P. K., & Lewandowski, J. J. (2015). Fracture Toughness and Fatigue Crack Growth Behavior of As-Cast High-Entropy Alloys. Jom, 67(10), 2288–2295. https://doi.org/10.1007/s11837-015-1563-9",FCC+BCC,True
24,CoCrFeMnNi<111>,Bridgeman technique + homogenized (1473 K & 24 h) + water quenched + solution treated (1373 K & 1 h),FCC,,170.0,650.0,298,0.05,1Hz,5.5,3.21,"Sidharth, R., Abuzaid, W., & Sehitoglu, H. (2020). Nano-twinning enhanced room temperature fatigue crack growth in single crystalline CoCrFeMnNi high entropy alloy. Intermetallics, 126(June), 106919. https://doi.org/10.1016/j.intermet.2020.106919",FCC,True
25,CoCrFeMnNi<001>,Bridgeman technique + homogenized (1473 K & 24 h) + water quenched + solution treated (1373 K & 1 h),FCC,,150.0,440.0,298,0.05,1Hz,5.5,2.51,"Sidharth, R., Abuzaid, W., & Sehitoglu, H. (2020). Nano-twinning enhanced room temperature fatigue crack growth in single crystalline CoCrFeMnNi high entropy alloy. Intermetallics, 126(June), 106919. https://doi.org/10.1016/j.intermet.2020.106919",FCC,True
27,CoCrFeNi,VIM,FCC,,,,298,0.05,5Hz,,2.55,"Williams, W. M., Shabani, M., Jablonski, P. D., & Pataky, G. J. (2021). Fatigue crack growth behavior of the quaternary 3d transition metal high entropy alloy CoCrFeNi. International Journal of Fatigue, 148(February), 106232. https://doi.org/10.1016/j.ijfatigue.2021.106232",FCC,False
28,CoCrFeNi,VIM,FCC,,,,298,0.2,5Hz,,2.29,"Williams, W. M., Shabani, M., Jablonski, P. D., & Pataky, G. J. (2021). Fatigue crack growth behavior of the quaternary 3d transition metal high entropy alloy CoCrFeNi. International Journal of Fatigue, 148(February), 106232. https://doi.org/10.1016/j.ijfatigue.2021.106232",FCC,False
