x_um,y_um,mean_curvature_1_um
-1.5,-1.5,-0.115518
-1.5,-1.0,-0.0826158
-1.5,-0.5,-0.064265
-1.5,0.0,-0.0695491
-1.5,0.5,-0.101765
-1.5,1.0,-0.1576158
-1.5,1.5,-0.228018
-1.0,-1.5,-0.1061837
-1.0,-1.0,-0.0670315
-1.0,-0.5,-0.0424307
-1.0,0.0,-0.0414648
-1.0,0.5,-0.0674307
-1.0,1.0,-0.1170315
-1.0,1.5,-0.1811837
-0.5,-1.5,-0.0597655
-0.5,-1.0,-0.0143633
-0.5,-0.5,0.0164875
-0.5,0.0,0.0237034
-0.5,0.5,0.0039875
-0.5,1.0,-0.0393633
-0.5,1.5,-0.0972655
0.0,-1.5,0.0077811
0.0,-1.0,0.0594333
0.0,-0.5,0.0965341
0.0,0.0,0.11
0.0,0.5,0.0965341
0.0,1.0,0.0594333
0.0,1.5,0.0077811
0.5,-1.5,0.0753277
0.5,-1.0,0.1332299
0.5,-0.5,0.1765807
0.5,0.0,0.1962966
0.5,0.5,0.1890807
0.5,1.0,0.1582299
0.5,1.5,0.1128277
1.0,-1.5,0.1217459
1.0,-1.0,0.185898
1.0,-0.5,0.2354989
1.0,0.0,0.2614648
1.0,0.5,0.2604989
1.0,1.0,0.235898
1.0,1.5,0.1967459
1.5,-1.5,0.1310802
1.5,-1.0,0.2014824
1.5,-0.5,0.2573332
1.5,0.0,0.2895491
1.5,0.5,0.2948332
1.5,1.0,0.2764824
1.5,1.5,0.2435802
